gene_name,gene_id,max_score,avg_score,sum_score,snp_count,min_p,n_sig,top_snps,support,GRASS_score,rank,rank_max,disease
SHARPIN,ENSG00000179526,0.5569824791750384,0.31769391643119194,0.9530817492935758,3,2.934e-12,3,"rs34173062,rs34674752,rs60394484",0.2335836689629755,0.5880269765537912,15,8,AD
BCAM,ENSG00000187244,0.5393694931930009,0.2937492052161164,2.0562444365128147,7,2.8014700000000002e-102,7,"rs4803762,rs111371860,rs138573164,rs149302547,rs74579864",0.3503755034444632,0.5877875869103151,16,18,AD
UNC5CL,ENSG00000124602,0.5348192366216103,0.22711224456131096,1.5897857119291767,7,1.451e-16,7,"rs187370608,rs150085726,rs145342536,rs77579690,rs186909310",0.3503755034444632,0.5837156198700253,17,21,AD
BCL3,ENSG00000069399,0.5393694931930009,0.23944363057164242,0.9577745222865697,4,4.0782600000000004e-44,4,"rs138573164,rs12459810,rs189395229,rs186110295",0.271182241736001,0.5768439372273746,18,18,AD
CYP27C1,ENSG00000186684,0.5608046492731684,0.5608046492731684,0.5608046492731684,1,6.479999999999999e-90,1,rs6733839,0.11679183448148775,0.5761929784853066,19,6,AD
ABI3,ENSG00000108798,0.5558814571321747,0.5558814571321747,0.5558814571321747,1,5.379e-13,1,rs616338,0.11679183448148775,0.5714422829368083,20,9,AD
ATP8B4,ENSG00000104043,0.5461937851819397,0.3043327828096426,0.6086655656192852,2,5.117e-10,2,"rs138799625,rs183428733",0.18511067804359016,0.5713950980195496,21,11,AD
INPP5D,ENSG00000168918,0.4536830475015474,0.03171950590989557,0.9515851772968672,30,1.043e-17,30,"rs10933431,rs35349669,rs36127492,rs28459768,rs145770967",0.5786096754715012,0.5485143298784602,22,24,AD
GRN,ENSG00000030582,0.5231533123114381,0.5231533123114381,0.5231533123114381,1,1.756e-12,1,rs5848,0.11679183448148775,0.5398608521379086,23,22,AD
ALPK2,ENSG00000198796,0.5136890143810843,0.5136890143810843,0.5136890143810843,1,3.30474e-08,1,rs76726049,0.11679183448148775,0.5307281600227644,24,23,AD
SPI1,ENSG00000066336,0.3879907659983285,0.03630853229961354,1.9243522118795175,53,3.277e-12,53,"rs199555322,rs11500477,rs10838702,rs12292911,rs10437655",0.6721238686122583,0.5113945701934169,25,37,AD
ABCA7,ENSG00000064687,0.4339405929502981,0.1481608017231833,1.6297688189550164,11,1.063e-15,11,"rs200538373,rs4147929,rs3752246,rs3795065,rs559324022",0.4186943470065657,0.5050423550907777,26,29,AD
EML2,ENSG00000125746,0.4006349479926115,0.09342097586909694,1.588156589774648,17,1.29628e-24,17,"rs11666698,rs6509227,rs3745817,rs12386125,rs140507001",0.4870131905686681,0.4882045538806537,27,31,AD
IGFL1,ENSG00000188293,0.3829559729113552,0.1172448019632099,1.9931616333745683,17,5.00035e-24,17,"rs147963283,rs77915913,rs187876027,rs143399042,rs137887981",0.4870131905686681,0.4731085470174894,28,42,AD
ERCC1,ENSG00000012061,0.436580092263736,0.2333063109090552,0.4666126218181104,2,1.19978e-24,2,"rs28658530,rs8110514",0.18511067804359016,0.46786860460703106,29,28,AD
QPCTL,ENSG00000011478,0.4006349479926115,0.08156167315579221,0.6524933852463377,8,1.06635e-16,8,"rs11666698,rs6509233,rs34568773,rs12975617,rs4803849",0.3702213560871803,0.46720427069624315,30,31,AD
EPHA1,ENSG00000146904,0.3839803132291347,0.06708647193820447,0.872124135196658,13,3.997e-16,13,"rs11769559,rs3935067,rs11767557,rs7791765,rs10265814",0.44466796586922935,0.46615757954467485,31,39,AD
HESX1,ENSG00000163666,0.4459163725396501,0.4459163725396501,0.4459163725396501,1,1.237e-08,1,rs184384746,0.11679183448148775,0.4653301055318256,32,25,AD
IL17RD,ENSG00000144730,0.4459163725396501,0.4459163725396501,0.4459163725396501,1,1.237e-08,1,rs184384746,0.11679183448148775,0.4653301055318256,32,25,AD
APPL1,ENSG00000157500,0.4459163725396501,0.4459163725396501,0.4459163725396501,1,1.237e-08,1,rs184384746,0.11679183448148775,0.4653301055318256,32,25,AD
GIPR,ENSG00000010310,0.4006349479926115,0.08984399396798914,0.628907957775924,7,1.06635e-16,7,"rs11666698,rs6509233,rs34568773,rs12975617,rs4803849",0.3503755034444632,0.4636357975458432,35,31,AD
SNRPD2,ENSG00000125743,0.4006349479926115,0.08984399396798914,0.628907957775924,7,1.06635e-16,7,"rs11666698,rs6509233,rs34568773,rs12975617,rs4803849",0.3503755034444632,0.4636357975458432,35,31,AD
TAS2R60,ENSG00000185899,0.3839803132291347,0.061722869309002726,0.67895156239903,11,3.997e-16,11,"rs11769559,rs11767557,rs10265814,rs7805776,rs9640385",0.4186943470065657,0.46135750137784964,37,39,AD
ZYX,ENSG00000159840,0.3839803132291347,0.061722869309002726,0.67895156239903,11,3.997e-16,11,"rs11769559,rs11767557,rs10265814,rs7805776,rs9640385",0.4186943470065657,0.46135750137784964,37,39,AD
PICALM,ENSG00000073921,0.3924334990472851,0.0760795773744669,0.6086366189957352,8,1.613e-34,8,"rs10649400,rs561655,rs598726,rs573167,rs10687788",0.3702213560871803,0.4599137272160423,39,36,AD
HIF3A,ENSG00000124440,0.3829559729113552,0.17776501911132403,1.7776501911132403,10,5.00035e-24,10,"rs147963283,rs141190797,rs77915913,rs187876027,rs143399042",0.4040333650039125,0.45774788529741234,40,42,AD
MARK4,ENSG00000007047,0.3719639810213606,0.10640528160079399,1.2768633792095279,12,1.3527e-39,12,"rs10410833,rs10411314,rs60152947,rs77401305,rs111462669",0.4321811430698576,0.4533915783927299,41,48,AD
IGSF23,ENSG00000216588,0.3494648378219493,0.07317854359185784,1.390392328245299,19,4.76431e-21,19,"rs113571662,rs2357101,rs1441619,rs12982815,rs35259453",0.5047659106989765,0.4479752298955023,42,53,AD
IDUA,ENSG00000127415,0.4234901524384823,0.4234901524384823,0.4234901524384823,1,5.036e-10,1,rs3822030,0.11679183448148775,0.4436896452464881,43,30,AD
C19orf83,ENSG00000267757,0.4006349479926115,0.25246068120127185,0.5049213624025437,2,1.06635e-16,2,"rs11666698,rs576905484",0.18511067804359016,0.4339196093444273,44,31,AD
AC074212.3,ENSG00000237452,0.3684532892874581,0.08207331411013973,0.4924398846608384,6,5.72348e-10,6,"rs76320948,rs6509233,rs34568773,rs12975617,rs4803849",0.32787613138774163,0.4305740169771825,45,50,AD
ADAMTS4,ENSG00000158859,0.3726903970951404,0.14573973934413206,0.5829589573765283,4,2.05149e-10,4,"rs4575098,rs11585858,rs12041364,rs11591206",0.271182241736001,0.4237249644086185,46,44,AD
ZNF225,ENSG00000256294,0.3510721462408998,0.16104568167129094,1.2883654533703275,8,4.55093e-43,8,"rs16978738,rs16978665,rs75006290,rs8106828,rs28521615",0.3702213560871803,0.42314623124733103,47,52,AD
PRDM7,ENSG00000126856,0.3862885974013563,0.3862885974013563,0.3862885974013563,1,1.283e-11,1,rs56407236,0.11679183448148775,0.40779154156686703,48,38,AD
CEACAM4,ENSG00000105352,0.3722351984172946,0.2729325889175813,0.5458651778351626,2,8.96004e-09,2,"rs554656615,rs1274623634",0.18511067804359016,0.4070969888391569,49,45,AD
CEACAM7,ENSG00000007306,0.3722351984172946,0.2729325889175813,0.5458651778351626,2,8.96004e-09,2,"rs554656615,rs1274623634",0.18511067804359016,0.4070969888391569,49,45,AD
CEACAM21,ENSG00000007129,0.3722351984172946,0.3722351984172946,0.3722351984172946,1,2.16636e-08,1,rs554656615,0.11679183448148775,0.39423053925721996,51,45,AD
TRAPPC6A,ENSG00000007255,0.3719639810213606,0.3719639810213606,0.3719639810213606,1,2.36677e-32,1,rs10410833,0.11679183448148775,0.3939688246544503,52,48,AD
NPAS1,ENSG00000130751,0.3573993756533303,0.19944954491027014,0.3988990898205403,2,4.59727e-12,2,"rs201723718,rs16980815",0.18511067804359016,0.3930850468385442,53,51,AD
MS4A4E,ENSG00000214787,0.2883391016489391,0.06209577937247711,0.8072451318422024,13,2.415e-16,13,"rs610352,rs611267,rs7107627,rs3041800,rs201153362",0.44466796586922935,0.3832749428664695,54,58,AD
IGFL4,ENSG00000204869,0.2844867119452988,0.1339129152951805,1.7408678988373467,13,8.61787e-23,13,"rs59430794,rs2007322,rs57354574,rs28567737,rs1861790",0.44466796586922935,0.3799364634508052,55,59,AD
FERMT2,ENSG00000073712,0.2289768095357158,0.02608526264430867,1.0173252431280382,39,7.995e-10,39,"rs17125944,rs74825460,rs117834516,rs7143400,rs1952088",0.6215577451804642,0.37274744025976425,56,70,AD
HLA-DRB1,ENSG00000196126,0.1793121001409055,0.030398528228612387,3.009454294632626,99,1.049e-17,99,"rs72844190,rs6605556,rs9271174,rs9271192,rs76566406",0.7759481524349775,0.3703554780273274,57,99,AD
PGLYRP1,ENSG00000008438,0.2844867119452988,0.18052515023251328,1.4442012018601063,8,8.15831e-23,8,"rs59430794,rs2007322,rs57354574,rs28567737,rs1861790",0.3702213560871803,0.3639562018859014,58,59,AD
CCDC61,ENSG00000104983,0.2844867119452988,0.18052515023251328,1.4442012018601063,8,8.15831e-23,8,"rs59430794,rs2007322,rs57354574,rs28567737,rs1861790",0.3702213560871803,0.3639562018859014,58,59,AD
ZNF234,ENSG00000263002,0.2166557362898374,0.13497097162870786,4.8589549786334825,36,5.41627e-43,36,"rs181817835,rs4803686,rs75006290,rs8106828,rs10153465",0.6084216152175655,0.35963681094922295,60,78,AD
PTK2B,ENSG00000120899,0.2947602589967243,0.16269871558640622,0.8134935779320311,5,5.336e-15,5,"rs73223431,rs28834970,rs2322599,rs6987305,rs57735330",0.30190251252507794,0.35863435391915155,61,56,AD
ZNF230,ENSG00000159882,0.2699339500301326,0.08328874717147723,0.6663099773718179,8,2.42003e-09,8,"rs76261208,rs12753,rs1060880,rs11883068,rs147649776",0.3702213560871803,0.35101976294604925,62,64,AD
R3HDM4,ENSG00000198858,0.2783940232539568,0.17820885901427616,1.069253154085657,6,1.62073e-09,6,"rs572028460,rs146459823,rs539695947,rs187642366,rs188874510",0.32787613138774163,0.3493732360664864,63,62,AD
ZNF227,ENSG00000131115,0.1905498578647519,0.1333335945287217,6.26667894284992,47,3.70851e-43,47,"rs10422555,rs181211209,rs10153465,rs11140,rs10420465",0.6522780159695412,0.3489458176862247,64,95,AD
KANSL1,ENSG00000120071,0.0788713911505693,0.01073646017081469,2.7592702638993756,257,1.783e-10,257,"rs7225002,rs2696466,rs1881193,rs34043286,rs17585644",0.9356459276089761,0.3374264606527967,65,194,AD
SEC61G,ENSG00000132432,0.2966468937850313,0.16791916900942389,0.33583833801884777,2,2.046e-09,2,"rs74504435,rs75061358",0.18511067804359016,0.3357063449036867,66,55,AD
KIAA0125,ENSG00000226777,0.2447542132419086,0.06288636682146294,0.5659773013931665,9,3.38e-10,9,"rs28577986,rs74093831,rs12434433,rs78376194,rs77307099",0.38797407621748875,0.3326589491722949,67,65,AD
FBXO33,ENSG00000165355,0.3028217217083941,0.3028217217083941,0.3028217217083941,1,1.396e-08,1,rs74745468,0.11679183448148775,0.32724914073309064,68,54,AD
ZNF226,ENSG00000167380,0.1699592632306742,0.13177480763919602,5.270992305567841,40,2.76376e-42,40,"rs10153465,rs8107252,rs10420465,rs3803932,rs2141524",0.6257183269493181,0.32577077356399875,69,107,AD
HLA-DQA1,ENSG00000196735,0.1234036415039433,0.029174579431257584,2.5673629899506674,88,1.049e-17,88,"rs6605556,rs9271174,rs9271192,rs9271164,rs9271058",0.7563127870156643,0.3222979519985238,70,139,AD
CR1,ENSG00000203710,0.2054815436878014,0.0775830939041963,1.241329502467141,16,2.837e-33,16,"rs6656401,rs2093760,rs679515,rs6701713,rs3818361",0.4773822836045413,0.3192682541998831,71,80,AD
ZNF235,ENSG00000159917,0.1699592632306742,0.1320317685950761,4.092984826447359,31,2.76376e-42,31,"rs10153465,rs11140,rs3810137,rs4802215,rs34032266",0.5839591724074388,0.31537223374315704,72,107,AD
CLU,ENSG00000120885,0.2888883783451174,0.2888883783451174,0.2888883783451174,1,3.492e-17,1,rs867230,0.11679183448148775,0.3138039875893712,73,57,AD
CD2AP,ENSG00000198087,0.1858433986995819,0.04471871500741776,0.9390930151557729,21,4.686e-13,21,"rs9381563,rs4715019,rs1004173,rs1385742,rs7738044",0.5208251994854002,0.3130533809849756,74,97,AD
TANC2,ENSG00000170921,0.2294754811597321,0.07190252236240581,0.5033176565368407,7,3.474e-16,7,"rs4292,rs4291,rs4277405,rs4968783,rs4968782",0.3503755034444632,0.31046735602122055,75,66,AD
CYB561,ENSG00000008283,0.2294754811597321,0.07190252236240581,0.5033176565368407,7,3.474e-16,7,"rs4292,rs4291,rs4277405,rs4968783,rs4968782",0.3503755034444632,0.31046735602122055,75,66,AD
MAPT,ENSG00000186868,0.0121942368605771,0.010278158216695584,3.874865647694235,377,2.991e-09,377,"rs58879558,rs11575895,rs10445337,rs17565025,rs75010486",1.0,0.30853596580240394,77,270,AD
ACE,ENSG00000159640,0.2294754811597321,0.07932168755054807,0.4759301253032884,6,3.474e-16,6,"rs4292,rs4291,rs4277405,rs4968783,rs4459609",0.32787613138774163,0.30526646067275653,78,66,AD
CTSB,ENSG00000164733,0.2775603137867043,0.2775603137867043,0.2775603137867043,1,5.462e-09,1,rs1065712,0.11679183448148775,0.3028728306632287,79,63,AD
APP,ENSG00000142192,0.1711783339076798,0.027411789892829764,0.5482357978565953,20,1.017e-09,20,"rs469420,rs2154481,rs432766,rs467021,rs2830077",0.5129868094313318,0.29873070853055783,80,103,AD
CNTNAP2,ENSG00000174469,0.1833253751854007,0.07482067012544732,0.9726687116308153,13,2.096e-09,13,"rs114360492,rs116155464,rs114377259,rs115674611,rs116767080",0.44466796586922935,0.29227008844339786,81,98,AD
EXOC3L2,ENSG00000130201,0.2126456389009525,0.07537150672940936,0.45222904037645617,6,1.3527e-39,6,"rs10411314,rs111462669,rs60269219,rs140013593,rs10424245",0.32787613138774163,0.2900920494854793,82,79,AD
HLA-DQB1,ENSG00000179344,0.1234036415039433,0.03742226923727837,1.4220462310165782,38,1.049e-17,38,"rs6605556,rs3997854,rs9271174,rs9271192,rs9275614",0.6172918211134478,0.2857383702591776,83,139,AD
ADAM10,ENSG00000137845,0.1861208418799478,0.047936981038867024,0.47936981038867027,10,1.042e-11,10,"rs653765,rs593742,rs572107,rs6494035,rs6494036",0.4040333650039125,0.2847711423684866,84,96,AD
KCNH6,ENSG00000173826,0.2294754811597321,0.1264700778705196,0.3794102336115588,3,3.474e-16,3,"rs4292,rs4291,rs4968783",0.2335836689629755,0.2834700644007244,85,66,AD
HS3ST1,ENSG00000002587,0.1645322706501539,0.04584376344154083,0.6876564516231124,15,1.922e-13,15,"rs11728636,rs6448453,rs6448451,rs10939105,rs6448450",0.467167337925951,0.28162324116317583,86,110,AD
CEACAM16,ENSG00000213892,0.2243699736642676,0.1394683430311896,0.4184050290935688,3,4.0782600000000004e-44,3,"rs12459810,rs189395229,rs186110295",0.2335836689629755,0.2787223258570725,87,74,AD
AC008394.1,ENSG00000233828,0.1994324252161659,0.05661818829925758,0.33970912979554546,6,8.579e-14,6,"rs62375397,rs55695634,rs56363426,rs62375388,rs147024067",0.32787613138774163,0.2781785250165429,88,83,AD
PVR,ENSG00000073008,0.193068722034825,0.07072631443323613,0.4950842010326529,7,2.53454e-12,7,"rs2357101,rs12982815,rs12985991,rs12982081,rs55826605",0.3503755034444632,0.27788740786346466,89,93,AD
HLA-DRB5,ENSG00000198502,0.1793121001409055,0.0439720053026238,0.3957480477236142,9,3.287e-11,9,"rs72844190,rs76566406,rs67426377,rs67433939,rs72492326",0.38797407621748875,0.27483378908411643,90,99,AD
SLC39A13,ENSG00000165915,0.1149079893339616,0.030068062318670846,1.0223141188348088,34,3.277e-12,34,"rs11500477,rs10838702,rs12292911,rs7947450,rs11039225",0.5990583731237427,0.27397452332628736,91,147,AD
PSMC3,ENSG00000165916,0.1149079893339616,0.0302906243185957,0.9995906025136582,33,3.277e-12,33,"rs11500477,rs10838702,rs10838709,rs12292911,rs1534576",0.594174118086029,0.2726776187927067,92,147,AD
CRHR1,ENSG00000120088,0.0121080250657458,0.010059284579150509,1.6497226709806834,164,4.438e-09,164,"rs382362,rs56194412,rs34416056,rs56099546,rs12150390",0.8603262847835036,0.26708085483453325,93,271,AD
PRKD2,ENSG00000105287,0.2230855963024606,0.2230274950296514,0.4460549900593028,2,2.3297e-12,2,"rs184588552,rs555091835",0.18511067804359016,0.2662301419175455,94,75,AD
GEMIN7,ENSG00000142252,0.218299112213447,0.14754048329263214,0.2950809665852643,2,4.80452e-10,2,"rs7251911,rs139713267",0.18511067804359016,0.2617094666230806,95,76,AD
AZU1,ENSG00000172232,0.1640652833930108,0.1365047338281704,1.2285426044535337,9,3.30005e-08,9,"rs111833005,rs113981649,rs529907338,rs187989195,rs144742501",0.38797407621748875,0.2613615832291283,96,111,AD
TYROBP,ENSG00000011600,0.2177384021652723,0.2087343256043248,0.4174686512086496,2,2.08444e-10,2,"rs1002399693,rs1426557332",0.18511067804359016,0.2611798946000669,97,77,AD
MISP,ENSG00000099812,0.1685428596204939,0.134013224741302,1.072105797930416,8,3.16512e-08,8,"rs192894783,rs529907338,rs187989195,rs144742501,rs184115743",0.3702213560871803,0.26088981663239486,98,109,AD
RASGEF1C,ENSG00000146090,0.1950084288636229,0.13338550191929802,0.5335420076771921,4,3.38e-12,4,"rs113706587,rs114841132,rs116347724,rs111274391",0.271182241736001,0.2604982545154274,99,85,AD
MED16,ENSG00000175221,0.1905685978694698,0.15211451796440328,0.6084580718576131,4,4.28667e-09,4,"rs573965997,rs192692625,rs530404052,rs559823035",0.271182241736001,0.2564196245178513,100,94,AD
PSG9,ENSG00000183668,0.1983796679603971,0.09623289646605397,0.2886986893981619,3,3.0512e-08,3,"rs62113693,rs7251386,rs11671184",0.2335836689629755,0.25455329344233585,101,84,AD
SPPL2C,ENSG00000185294,0.0107468065208293,0.010133512211326901,1.3072230752611702,129,1.841e-08,129,"rs62056778,rs56194412,rs34416056,rs80233201,rs74998289",0.8201552192873464,0.2541491574694144,102,277,AD
SPDYE3,ENSG00000214300,0.2248954735205965,0.2248954735205965,0.2248954735205965,1,2.133e-18,1,rs7384878,0.11679183448148775,0.25205323738932683,103,71,AD
PILRA,ENSG00000085514,0.2248954735205965,0.2248954735205965,0.2248954735205965,1,2.133e-18,1,rs7384878,0.11679183448148775,0.25205323738932683,103,71,AD
PILRB,ENSG00000121716,0.2248954735205965,0.2248954735205965,0.2248954735205965,1,2.133e-18,1,rs7384878,0.11679183448148775,0.25205323738932683,103,71,AD
RABEP1,ENSG00000029725,0.0804817074673565,0.00797595741339602,0.3030863817090487,38,6.585e-13,38,"rs57402520,rs56117162,rs112065650,rs112809920,rs79970806",0.6172918211134478,0.25076504387073756,106,190,AD
PALM,ENSG00000099864,0.1538599284532646,0.13217785834539833,1.0574228667631866,8,3.30005e-08,8,"rs116144907,rs529907338,rs187989195,rs144742501,rs184115743",0.3702213560871803,0.24783766587158546,107,114,AD
MYBPC3,ENSG00000134571,0.1149079893339616,0.03538605118979054,0.6015628702264392,17,3.277e-12,17,"rs11500477,rs10838702,rs1534576,rs1377416,rs6485753",0.4870131905686681,0.24422343455235307,108,147,AD
RAPSN,ENSG00000165917,0.094308627713614,0.027750772485494398,0.6382677671663711,23,7.841e-12,23,"rs10838702,rs12292911,rs1534576,rs1377416,rs7103648",0.5354861814880534,0.23980419207930753,109,174,AD
HLA-DRA,ENSG00000204287,0.0031879312210563,0.0021329269791810768,0.2303561137515563,108,3.10879e-09,108,"rs28732216,rs28895198,rs28732223,rs28732224,rs28895120",0.7904686633995467,0.2395725423215249,110,292,AD
LILRA6,ENSG00000244482,0.194251573521621,0.16991832330467777,0.33983664660935553,2,3.159e-09,2,"rs12984029,rs12974390",0.18511067804359016,0.23899736478901157,111,86,AD
LILRB3,ENSG00000204577,0.194251573521621,0.16991832330467777,0.33983664660935553,2,3.159e-09,2,"rs12984029,rs12974390",0.18511067804359016,0.23899736478901157,111,86,AD
LILRB2,ENSG00000131042,0.194251573521621,0.16991832330467777,0.33983664660935553,2,3.159e-09,2,"rs12984029,rs12974390",0.18511067804359016,0.23899736478901157,111,86,AD
LILRB5,ENSG00000105609,0.194251573521621,0.16991832330467777,0.33983664660935553,2,3.159e-09,2,"rs12984029,rs12974390",0.18511067804359016,0.23899736478901157,111,86,AD
RPS9,ENSG00000170889,0.194251573521621,0.16991832330467777,0.33983664660935553,2,3.159e-09,2,"rs12984029,rs12974390",0.18511067804359016,0.23899736478901157,111,86,AD
LILRA3,ENSG00000170866,0.194251573521621,0.16991832330467777,0.33983664660935553,2,3.159e-09,2,"rs12984029,rs12974390",0.18511067804359016,0.23899736478901157,111,86,AD
HMHA1,ENSG00000180448,0.1389228042383755,0.05089376654754736,0.4071501323803789,8,8.04312e-10,8,"rs3795065,rs559324022,rs2074441,rs2074442,rs11084881",0.3702213560871803,0.23455955437156,117,120,AD
ZNF155,ENSG00000204920,0.1163889387154864,0.08061850197992627,1.0480405257390415,13,7.14003e-35,13,"rs12611102,rs74260441,rs78023654,rs10416702,rs10411144",0.44466796586922935,0.2342629986877671,118,146,AD
ZNF233,ENSG00000159915,0.133009568619988,0.13092829241926396,1.1783546317733757,9,2.76376e-42,9,"rs10153465,rs4802213,rs16978836,rs28422007,rs11879588",0.38797407621748875,0.23392051213120668,119,128,AD
LRFN2,ENSG00000156564,0.2042294421006833,0.2042294421006833,0.2042294421006833,1,2.603e-10,1,rs192675224,0.11679183448148775,0.23211129308570874,120,81,AD
BTNL2,ENSG00000204290,0.0030574973242014,0.0020990820563563856,0.1931155491847875,92,3.10879e-09,92,"rs28732216,rs28895120,rs28895118,rs28895067,rs28895116",0.7637203535150914,0.23147308149753568,121,293,AD
PTBP1,ENSG00000011304,0.1296765048380171,0.128956724200209,1.160610517801881,9,3.30005e-08,9,"rs529907338,rs188908277,rs544841632,rs187989195,rs144742501",0.38797407621748875,0.230975391051771,122,130,AD
ZNF221,ENSG00000159905,0.1201857615823907,0.09303315195369709,1.023364671490668,11,2.03798e-28,11,"rs377345993,rs10416702,rs10411144,rs10407513,rs141864586",0.4186943470065657,0.23069773599479265,123,143,AD
TREML4,ENSG00000188056,0.1005218860526923,0.02107010361842135,0.3371216578947416,16,1.414e-10,16,"rs3857580,rs9369266,rs34375289,rs9369267,rs13204001",0.4773822836045413,0.2293403608792338,124,159,AD
ZNF223,ENSG00000267022,0.1384570201080268,0.05858055345814973,0.4100638742070481,7,1.05099e-42,7,"rs16978665,rs8106828,rs11672683,rs147649776,rs58422302",0.3503755034444632,0.2290160867036347,125,121,AD
NFKBID,ENSG00000167604,0.1997143113899606,0.1997143113899606,0.1997143113899606,1,2.09064e-10,1,rs1244787406,0.11679183448148775,0.22775436149457473,126,82,AD
TEX101,ENSG00000131126,0.1266553682283161,0.04131752055915487,0.330540164473239,8,2.1707e-11,8,"rs12980519,rs61360090,rs140748572,rs12977607,rs188055150",0.3702213560871803,0.2236546184001077,127,135,AD
ZNF224,ENSG00000267680,0.1384570201080268,0.13119478128049825,0.7871686876829894,6,1.05099e-42,6,"rs16978665,rs75006290,rs13346417,rs7250439,rs8106828",0.32787613138774163,0.2232008338894009,128,121,AD
ZNF45,ENSG00000124459,0.1201857615823907,0.0924671671639658,0.8322045044756923,9,1.48765e-26,9,"rs10416702,rs10407513,rs10411144,rs141864586,rs2159622",0.38797407621748875,0.22258929650031029,129,143,AD
LILRA5,ENSG00000187116,0.194251573521621,0.194251573521621,0.194251573521621,1,3.159e-09,1,rs12984029,0.11679183448148775,0.22248302457931562,130,86,AD
LPPR3,ENSG00000129951,0.1296765048380171,0.1290804197585603,0.9035629383099221,7,3.30005e-08,7,"rs529907338,rs187989195,rs144742501,rs184115743,rs112458186",0.3503755034444632,0.22115851467109449,131,130,AD
C10orf40,ENSG00000235931,0.1614927800239518,0.07318898974388009,0.2195669692316403,3,2.742e-08,3,"rs723212,rs10994096,rs7096706",0.2335836689629755,0.22025125789213681,132,113,AD
ZNF404,ENSG00000176222,0.1201857615823907,0.09280730666568864,0.7424584533255091,8,1.48765e-26,8,"rs10416702,rs10411144,rs10407513,rs141864586,rs2159622",0.3702213560871803,0.2179035677179238,133,143,AD
ZNF284,ENSG00000186026,0.1384570201080268,0.09322354085033185,0.46611770425165927,5,1.05099e-42,5,"rs16978665,rs75006290,rs8106828,rs58422302,rs925866",0.30190251252507794,0.21648761719134563,134,121,AD
TSPAN14,ENSG00000108219,0.120453346226756,0.05966040261229242,0.4176228182860469,7,1.329e-14,7,"rs7922621,rs7910643,rs6586028,rs1902660,rs7900536",0.3503755034444632,0.212904826712364,135,142,AD
